Key,Emission Sub-Type
1,share_global_cumulative_gas_co2
2,cumulative_flaring_co2
3,cumulative_gas_co2
4,share_global_gas_co2
5,flaring_co2_per_capita
6,share_global_flaring_co2
7,gas_co2_per_capita
8,share_global_cumulative_flaring_co2
9,share_global_coal_co2
10,share_global_cement_co2
11,cement_co2_per_capita
12,coal_co2_per_capita
13,cumulative_cement_co2
14,share_global_cumulative_cement_co2
15,cumulative_coal_co2
16,share_global_cumulative_coal_co2
17,co2_growth_abs
18,co2_growth_prct
19,oil_co2_per_capita
20,share_global_oil_co2
21,cumulative_oil_co2
22,share_global_cumulative_oil_co2
23,co2_per_capita
24,share_global_co2
25,cumulative_co2
26,share_global_cumulative_co2
27,co2_per_gdp
28,co2_per_unit_energy
29,consumption_co2_per_capita
30,consumption_co2_per_gdp
31,trade_co2_share
32,nitrous_oxide
33,nitrous_oxide_per_capita
34,primary_energy_consumption
35,energy_per_capita
36,methane
37,methane_per_capita
38,total_ghg
39,ghg_per_capita
40,co2
41,trade_co2
42,consumption_co2
43,oil_co2
44,cement_co2
45,coal_co2
46,gas_co2
47,flaring_co2
48,population
49,gdp
50,energy_per_gdp